_id,id,pubDate,title,summary,infoSource
5e77d546cf364dfb25a40ffc,12839,2020/3/23,US Defense Department says 111 members of the military tested positive for coronavirus,The US Department of Defense announced on Sunday that 111 members of the military have tested positive for coronavirus. ,CNN
5e77d504cf364dfb25a40ffb,12835,2020/3/23,McDonalds restaurants to close across UK and Ireland,"All McDonalds restaurants across the UK and Ireland will close by 19:00 GMT on Monday 23 March.The fast food giant said the decision was ""not taken lightly"" and was made ""with the well-being and safet",BBC
5e77d481cf364dfb25a40ffa,12805,2020/3/23,"Ohio announces ""stay at home"" order due to Covid-19 concerns","Ohio has issued a statewide “stay at home” order due to the coronavirus pandemic, Gov. Mike DeWine announced at a press conference on Sunday.?",CNN
5e77d481cf364dfb25a40ff9,12810,2020/3/23,Louisiana governor issues executive order closing all non-essential businesses,Gov. John Bel Edwards has issued an executive order closing all non-essential businesses in Louisiana on Sunday.,CNN
5e77d440cf364dfb25a40fed,12810,2020/3/23,Louisiana governor issues executive order closing all non-essential businesses,Gov. John Bel Edwards has issued an executive order closing all non-essential businesses in Louisiana on Sunday.Edwards announced the order during a Sunday afternoon press conference.These businesses ,CNN
5e77d440cf364dfb25a40fec,12823,2020/3/23,French death toll rises by 112 to 674,"A total of 16,018 cases have been recorded in France, but the figure is widely believed to be an ""underestimate"", Mr Salomon warned.",BBC
5e77d3fdcf364dfb25a40feb,12823,2020/3/23,French death toll rises by 112 to 674,"""The virus kills and it is continuing to kill,"" said health official Jerome Salomon on Sunday.A total of 16,018 cases have been recorded in France, but the figure is widely believed to be an ""underest",BBC
5e77d3bccf364dfb25a40fea,12828,2020/3/23,Three more coronavirus cases on Isle of Man,"The number of people to test positive for the virus has now risen to five, the Manx government says.",BBC
5e77d3bccf364dfb25a40fe9,12829,2020/3/23,Coronavirus: IOM government orders school closures,"All schools on the Isle of Man will close from the end of Monday to most pupils. Only the children of those ""critical to the island's Covid-19 response"" will still be able to attend.",BBC
5e77d37acf364dfb25a40fe8,12829,2020/3/23,Coronavirus: IOM government orders school closures,"Only the children of those ""critical to the island's Covid-19 response"" will still be able to attend.",BBC
5e77d37acf364dfb25a40fe7,12831,2020/3/23,Spain announces 30-day travel restrictions,Spanish Prime Minister Pedro Sanchez announced the temporary restriction of non- essential flights from Spain.The restrictions will be in place for 30 days and will not apply to residents of the European Union.,CNN
5e77d2f8cf364dfb25a40fdf,12831,2020/3/23,Spain announces 30-day travel restrictions,Spanish Prime Minister Pedro Sanchez announced the temporary restriction of non- essential flights from Spain during a televised press conference Sunday.The restrictions will be in place for 30 days and will not apply to residents of the European Union.?,CNN
5e77d2b5cf364dfb25a40fde,12831,2020/3/23,Spain announces 30-day travel restrictions,Spanish Prime Minister Pedro Sanchez announced the temporary restriction of non- essential flights from Spain during a televised press conference Sunday.The restrictions will be in place for 30 days a,CNN
5e77d2b5cf364dfb25a40fdd,12832,2020/3/23,NYPD commissioner says 98 employees have coronavirus,"There are 98 members of the New York Police Department who have tested positive for coronavirus, according to NYPD Commissioner Dermot Shea. ",CNN
5e77d274cf364dfb25a40fdc,12833,2020/3/23,"Major shortages of supplies in 10 days, NYC warns",New York's mayor issues a stark warning as the state struggles to slow the spread of coronavirus.,BBC
5e77d232cf364dfb25a40fdb,12833,2020/3/23,"Major shortages of supplies in 10 days, NYC warns",New York's mayor issues a stark warning as the state struggles to slow the spread of coronavirus.,BBC
5e77d232cf364dfb25a40fda,12834,2020/3/23,More staffers and inmates with NYC corrections department test positive for coronavirus,"The New York City Department of Correction confirmed Sunday that five more staffers and 10 more inmates have tested positive for coronavirus, according to an email from spokesman Patrick Rocchio.",CNN
5e77a807cf364dfb25a40f1a,12792,2020/3/23,Greece to ban all non-essential movement starting Monday,Greece’s Prime Minister Kyriakos Mitsotakis has just announced in a televised statement a nationwide ban of non-essential movement to start Monday at 6 a.m. local time.?,CNN
5e77a7c6cf364dfb25a40f19,12792,2020/3/23,Greece to ban all non-essential movement starting Monday,Greece’s Prime Minister Kyriakos Mitsotakis has just announced in a televised statement a nationwide ban of non-essential movement to start Monday at 6 a.m. local time.?Only people required to go to w,CNN
5e77a57ccf364dfb25a40f17,12795,2020/3/23,TSA officers in Orlando and New York test positive for coronavirus,"Transportation Security Administration officers at the airports in Orlando and New York’s John F. Kennedy International Airport have tested positive for coronavirus, the agency said Sunday. ",CNN
5e779c3115a92028e443c2ed,12790,2020/3/23,New York reports 114 coronavirus-related deaths,"New?York?has?15,168 confirmed Covid-19 cases across?the state,?New?York?Gov. Andrew Cuomo said during a press conference Sunday morning.?So far, 114 people have died in New York from the disease, Cuomo added.At least 61,401?people have been tested for the coronavirus across the state.",CNN
5e779bf015a92028e443c2ec,12791,2020/3/23,Florida to receive 2 million N95 masks this week,"The state of Florida has 300,000 N95 masks and will be receiving 2 million more this week, Florida Division of Emergency Management Director Jared Moskowitz said during a Sunday press conference.",CNN
5e779bac15a92028e443c2eb,12791,2020/3/23,Florida to receive 2 million N95 masks this week,"The state of Florida has 300,000 N95 masks and will be receiving 2 million more this week, Florida Division of Emergency Management Director Jared Moskowitz said during a Sunday press conference.The m",CNN
5e779aa715a92028e443c2ea,12789,2020/3/23,Greece to ban all non-essential movement starting Monday,Greece’s Prime Minister Kyriakos Mitsotakis has just announced in a televised statement a nationwide ban of non-essential movement to start Monday at 6 a.m. local time. ,CNN
5e7794b915a92028e443c2e7,12787,2020/3/23,Are you allowed to go for a walk?,"Everybody is avoiding non-essential contact, but you can exercise if you stay 2m away from others.",BBC
5e77943715a92028e443c2e6,12786,2020/3/23,Emirates Group suspends passenger flights and cuts staff salaries amid coronavirus outbreak,"Emirates Group is temporarily suspending passenger flights — maintaining just its cargo operations — because of?coronavirus.The Dubai-based airline plans to halt passenger services as of March 25, it said in?a statement?Sunday. Emirates is also taking a number of other cost-cutting measures, including reducing operations at its air services division, Dnata, and a temporary cut to most employees' basic salaries.",CNN
